GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.macros,MacroType,4,0,0,0,1,0,1,0,1,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.macros,DemoMacro,41,0,4,0,9,0,4,0,2,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,MacroDefinition,148,0,16,0,30,0,19,0,11,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,IgnoreWarnFailCreate,6,88,1,8,1,14,1,8,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,NumberDefinition,6,39,1,1,2,13,2,5,1,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,IgnoreWarnFail,17,55,2,4,4,10,2,5,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,AbstractDefinition,16,166,1,5,2,47,2,23,1,21
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,UuidDefinition,0,20,0,0,0,6,0,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,DateDefinition,0,33,0,0,0,10,0,5,0,5
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,PropertyDefinition,21,55,0,0,5,16,3,6,3,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,PropertyGroup,43,116,1,3,13,27,9,8,8,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.beans,StringDefinition,0,66,0,2,0,20,0,8,0,7
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.MapValueProvider,12,20,0,0,3,5,1,2,1,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.TrimTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,PropertyField,90,0,2,0,21,0,6,0,5,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,InterpolatorFactory,26,71,1,1,3,15,1,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,StringField,55,64,3,7,11,15,6,5,4,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider,0,5,0,0,0,1,0,1,0,1
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseUnderscoreTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.NullProvider,0,3,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UppercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,DateField,65,127,4,14,13,29,7,10,4,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,NumberField,57,180,7,13,11,39,10,12,4,8
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,UuidField,57,55,4,6,12,15,7,4,4,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry.new ForwardingMap() {...},21,25,1,1,8,6,4,3,3,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,AbstractPropertyHelperMojo,439,0,30,0,75,0,24,0,9,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.PropertyProvider,0,31,0,0,0,8,0,3,0,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UseDashTransformer,0,11,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.LowercaseTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache.ValueCacheEntry,141,33,16,0,26,11,16,3,8,3
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,HelpMojo,773,0,112,0,156,0,72,0,16,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.RemoveWhitespaceTransformer,0,7,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,GetPropertiesMojo,21,0,2,0,8,0,3,0,2,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,IncrementNumbersMojo,36,0,6,0,12,0,5,0,2,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.UnderscoreForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,MacroField,165,0,8,0,34,0,10,0,6,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry.DashForWhitespaceTransformer,0,8,0,0,0,2,0,2,0,2
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueProvider.StaticValueProvider,11,0,0,0,5,0,3,0,3,0
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,ValueCache,162,170,27,15,31,41,17,11,1,6
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper,TransformerRegistry,30,112,5,5,7,23,5,5,1,4
Property Helper Maven Plugin,org.basepom.mojo.propertyhelper.util,Log,458,66,45,5,114,16,67,8,43,7
